ID,Name,Age,City
1,Helen,56,Houston
2,David,22,Chicago
3,Eve,30,New York
4,Eve,19,Chicago
5,Jack,60,Miami
6,Jack,30,Houston
7,Alice,24,Miami
8,Jack,36,Houston
9,Bob,55,San Francisco
10,Charlie,43,Los Angeles
11,Grace,39,Chicago
12,David,35,New York
13,Ivy,37,Houston
14,Eve,30,New York
15,Eve,56,San Francisco
16,Eve,55,Los Angeles
17,Alice,57,Houston
18,Jack,56,Chicago
19,Ivy,23,San Francisco
20,David,57,Chicago
21,David,44,San Francisco
22,Alice,57,San Francisco
23,Jack,55,Los Angeles
24,Charlie,23,Los Angeles
25,Frank,27,Los Angeles
26,Eve,21,San Francisco
27,Eve,56,San Francisco
28,Eve,33,Chicago
29,Helen,46,San Francisco
30,Alice,50,Chicago
31,Jack,43,Chicago
32,Grace,56,Chicago
33,Charlie,43,Chicago
34,Grace,51,Miami
35,Grace,22,New York
36,Ivy,57,Houston
37,Alice,23,New York
38,Charlie,60,Miami
39,Eve,56,Chicago
40,Charlie,57,New York
41,Charlie,52,Chicago
42,Grace,50,Los Angeles
43,Grace,52,Chicago
44,Ivy,46,Los Angeles
45,Grace,33,Houston
46,Alice,53,San Francisco
47,Helen,25,San Francisco
48,Alice,24,Miami
49,David,58,Miami
50,Charlie,45,Miami
51,Jack,56,Miami
52,Frank,31,Los Angeles
53,Eve,36,San Francisco
54,Frank,56,Chicago
55,Bob,54,Houston
56,Alice,41,Miami
57,Grace,26,Chicago
58,Grace,24,Chicago
59,Alice,35,Los Angeles
60,Frank,41,Chicago
61,Helen,56,Houston
62,Ivy,54,Chicago
63,Bob,60,Houston
64,David,23,San Francisco
65,Grace,39,San Francisco
66,Eve,27,New York
67,Ivy,22,New York
68,Helen,37,Houston
69,Ivy,41,Chicago
70,Eve,23,Miami
71,Jack,59,Houston
72,Frank,60,San Francisco
73,Grace,48,Chicago
74,Jack,43,San Francisco
75,Frank,44,Houston
76,Eve,53,Houston
77,Ivy,23,Houston
78,Jack,53,Miami
79,Alice,52,New York
80,Frank,49,Houston
81,Helen,24,Los Angeles
82,Eve,58,San Francisco
83,Grace,51,Los Angeles
84,Grace,59,Chicago
85,Grace,37,San Francisco
86,Alice,24,Chicago
87,Eve,42,Los Angeles
88,Frank,20,Los Angeles
89,Charlie,44,Miami
90,Frank,32,Los Angeles
91,Alice,46,Miami
92,Helen,40,Miami
93,Alice,25,Houston
94,Alice,24,New York
95,Eve,38,New York
96,Jack,39,Chicago
97,Eve,23,Houston
98,Frank,59,Los Angeles
99,Bob,44,Houston
100,Eve,40,Miami
101,David,42,Chicago
102,Bob,44,Miami
103,Grace,22,Miami
104,David,58,San Francisco
105,Grace,40,New York
106,Ivy,38,Chicago
107,Grace,54,Miami
108,Jack,22,New York
109,Charlie,18,Miami
110,Helen,53,Houston
111,Eve,53,Chicago
112,Eve,21,Houston
113,Ivy,31,Houston
114,Eve,38,Houston
115,Bob,50,Houston
116,Ivy,21,Chicago
117,Bob,36,New York
118,Grace,28,Miami
119,Eve,25,Miami
120,Helen,33,San Francisco
121,Grace,58,Chicago
122,Frank,56,Los Angeles
123,Bob,58,Miami
124,Ivy,41,New York
125,Ivy,54,Chicago
126,Jack,46,Houston
127,Charlie,55,Houston
128,Frank,26,Chicago
129,Bob,36,Houston
130,Charlie,46,Los Angeles
131,David,38,Los Angeles
132,Charlie,31,New York
133,Eve,20,Los Angeles
134,Alice,51,Houston
135,Charlie,45,San Francisco
136,Ivy,51,Miami
137,Eve,32,San Francisco
138,Eve,41,Chicago
139,David,35,Chicago
140,Charlie,60,Houston
141,Eve,43,San Francisco
142,Frank,49,Los Angeles
143,Ivy,18,San Francisco
144,Jack,20,Chicago
145,Frank,25,Chicago
146,Bob,44,New York
147,Helen,60,San Francisco
148,Grace,56,Miami
149,Grace,26,Los Angeles
150,Helen,28,San Francisco
151,Alice,53,Miami
152,Charlie,22,New York
153,Helen,20,Los Angeles
154,Alice,40,Chicago
155,Grace,26,San Francisco
156,Ivy,40,Chicago
